"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Prix de la réparation"
138,"P8 Lite",p8-lite,,74,Huawei,huawei,0,,,,,,,
139,"P8 Lite (2017)",p8-lite-2017,,74,Huawei,huawei,0,,,,,,,
140,P20,p20,,74,Huawei,huawei,0,,,,,,,
141,"P20 Pro",p20-pro,,74,Huawei,huawei,0,,,,,,,
142,"Y6 2018",y6-2018,,74,Huawei,huawei,0,,,,,,,
143,"Y7 2018",y7-2018,,74,Huawei,huawei,0,,,,,,,
144,G3,g3,,75,LG,lg,0,,,,,,,
145,"Nexus 5X",nexus-5x,,75,LG,lg,0,,,,,,,
146,"K8 - 2017",k8-2017,,75,LG,lg,0,,,,,,,
147,K4,k4,,75,LG,lg,0,,,,,,,
148,K7,k7,,75,LG,lg,0,,,,,,,
149,G4,g4,,75,LG,lg,0,,,,,,,
150,K10,k10,,75,LG,lg,0,,,,,,,
151,G2,g2,,75,LG,lg,0,,,,,,,
152,"L FINO",l-fino,,75,LG,lg,0,,,,,,,
153,K8,k8,,75,LG,lg,0,,,,,,,
154,G5,g5,,75,LG,lg,0,,,,,,,
155,G6,g6,,75,LG,lg,0,,,,,,,
156,"Nexus 6",nexus-6,,76,"LG Nexus",lg-nexus,0,,,,,,,
157,"Moto G1",moto-g1,,77,Motorola,motorola,0,,,,,,,
158,"Lumia 620",lumia-620,,78,Nokia,nokia,0,,,,,,,
159,"Lumia 530",lumia-530,,78,Nokia,nokia,0,,,,,,,
160,"Lumia 535",lumia-535,,78,Nokia,nokia,0,,,,,,,
161,"Lumia 930",lumia-930,,78,Nokia,nokia,0,,,,,,,
162,"Xperia T3",xperia-t3,,80,Sony,sony,0,,,,,,,
163,"Xperia E",xperia-e,,80,Sony,sony,0,,,,,,,
164,"Xperia Z Ultra",xperia-z-ultra,,80,Sony,sony,0,,,,,,,
165,"Xperia E5",xperia-e5,,80,Sony,sony,0,,,,,,,
166,"Xperia Z4",xperia-z4,,80,Sony,sony,0,,,,,,,
