144,G3,g3,http://localhost/atom-wp/wp-content/uploads/models/lg-g3.jpg,75
145,Nexus 5X,nexus-5x,http://localhost/atom-wp/wp-content/uploads/models/nexus-5x.jpg,75
146,K8 - 2017,k8-2017,http://localhost/atom-wp/wp-content/uploads/models/lg-k8-2017.jpg,75
147,K4,k4,http://localhost/atom-wp/wp-content/uploads/models/lg-k4.jpg,75
148,K7,k7,http://localhost/atom-wp/wp-content/uploads/models/lg-k7.png,75
149,G4,g4,http://localhost/atom-wp/wp-content/uploads/models/lg-g4.jpg,75
150,K10,k10,http://localhost/atom-wp/wp-content/uploads/models/lg-k10.jpg,75
151,G2,g2,http://localhost/atom-wp/wp-content/uploads/models/lg-g2.jpg,75
152,L FINO,l-fino,http://localhost/atom-wp/wp-content/uploads/models/lg-l-fino.png,75
153,K8,k8,http://localhost/atom-wp/wp-content/uploads/models/no-pictures.png,75
154,G5,g5,http://localhost/atom-wp/wp-content/uploads/models/lg-g5.jpg,75
155,G6,g6,http://localhost/atom-wp/wp-content/uploads/models/lg-g6.jpg,75
156,Nexus 6,nexus-6,http://localhost/atom-wp/wp-content/uploads/models/nexus-6.jpg,76
157,Moto G1,moto-g1,http://localhost/atom-wp/wp-content/uploads/models/moto-g1,77
158,Lumia 620,lumia-620,http://localhost/atom-wp/wp-content/uploads/models/lumia-620.jpg,78
159,Lumia 530,lumia-530,http://localhost/atom-wp/wp-content/uploads/models/lumia-530.jpg,78
160,Lumia 535,lumia-535,http://localhost/atom-wp/wp-content/uploads/models/nokia-lumia-535.png,78
161,Lumia 930,lumia-930,http://localhost/atom-wp/wp-content/uploads/models/lumia-930.jpg,78
162,Xperia T3,xperia-t3,http://localhost/atom-wp/wp-content/uploads/models/xperia-t3.png,80
163,Xperia E,xperia-e,http://localhost/atom-wp/wp-content/uploads/models/xperia-e.jpg,80
164,Xperia Z Ultra,http://localhost/atom-wp/wp-content/uploads/models/no-pictures.png,80
165,Xperia E5,xperia-e5,http://localhost/atom-wp/wp-content/uploads/models/xperia-e5.png,80
166,Xperia Z4,xperia-z4,http://localhost/atom-wp/wp-content/uploads/models/xperia-z3-plus-z4.jpg,80
167,Xperia XA,xperia-xa,http://localhost/atom-wp/wp-content/uploads/models/xperia-xa.jpg,80
168,Xperia M5,xperia-m5,http://localhost/atom-wp/wp-content/uploads/models/xperia-m5.jpg,80
169,Xperia S,xperia-s,http://localhost/atom-wp/wp-content/uploads/models/xperia-s.jpg,80
170,Xperia M2,xperia-m2,http://localhost/atom-wp/wp-content/uploads/models/xperia-m2.jpg,80
171,Xperia Z,xperia-z,http://localhost/atom-wp/wp-content/uploads/models/xperia-z.jpg,80
172,Xperia Z2,xperia-z2,http://localhost/atom-wp/wp-content/uploads/models/xperia-z2.jpg,80
173,Xperia Z3,xperia-z3,http://localhost/atom-wp/wp-content/uploads/models/xperia-z3.jpg,80
174,Xperia Z3 Compact,xperia-z3-compact,http://localhost/atom-wp/wp-content/uploads/models/xperia-z3-compact.jpg,80
175,Xperia Z1,xperia-z1,http://localhost/atom-wp/wp-content/uploads/models/xperia-z1.jpg,80
176,Xperia Z5,xperia-z5,http://localhost/atom-wp/wp-content/uploads/models/xperia-z5.jpg,80
177,Xperia C5 Ultra,xperia-c5-ultra,http://localhost/atom-wp/wp-content/uploads/models/sony-xperia-c5-ultra.png,80
178,Smart Prime 6,smart-prime-6,http://localhost/atom-wp/wp-content/uploads/models/smart-prime-6.png,82
